user_id,amount,location_latitude,location_longitude,last_location_latitude,last_location_longitude,device,last_device,ip_address,last_ip,transaction_time,failed_logins,rapid_transactions,fraud_label
user123,1000,40.88572423928382,-74.18683085242799,40.99385506271934,-74.17926740409054,DeviceB,DeviceB,192.168.0.225,192.168.0.152,1741969459,2,0,1
user123,600,40.98127824138066,-74.0067847791201,40.773892181745,-74.14873922580047,DeviceB,DeviceB,192.168.0.149,192.168.0.116,1741969459,1,1,0
user123,300,40.71053971226853,-74.16050516092474,40.96747948348664,-74.02977114433887,DeviceA,DeviceB,192.168.0.193,192.168.0.118,1741969459,2,1,1
user123,100,40.8426680650854,-74.07332751509414,40.7063090556024,-74.12735050007656,DeviceA,DeviceA,192.168.0.73,192.168.0.49,1741969459,2,1,0
user123,200,40.94914726016584,-73.93064255066206,40.72919265317035,-74.17693314234913,DeviceA,DeviceB,192.168.0.234,192.168.0.101,1741969459,1,0,0
user123,600,40.88919048168233,-73.99238960139017,40.97299871255995,-74.11077784886376,DeviceA,DeviceB,192.168.0.81,192.168.0.212,1741969459,3,1,1
user123,200,40.927963581273644,-73.95878982572383,40.75811749171016,-74.06323419990849,DeviceA,DeviceA,192.168.0.18,192.168.0.102,1741969459,1,0,0
user123,300,40.83132558566234,-74.06348597975298,40.944820235123835,-74.07933409484814,DeviceA,DeviceA,192.168.0.90,192.168.0.57,1741969459,0,0,1
user123,300,40.918274515940794,-74.07573131217994,40.829855929258336,-73.97388377418599,DeviceA,DeviceA,192.168.0.102,192.168.0.191,1741969459,3,1,0
user123,300,40.774667777593045,-74.09725391539244,40.85464680971795,-74.02485495950367,DeviceA,DeviceB,192.168.0.82,192.168.0.211,1741969459,2,1,0
user123,1000,40.80450771473303,-73.9922220688498,40.9857929967544,-74.15662137988257,DeviceA,DeviceB,192.168.0.225,192.168.0.195,1741969459,2,0,0
user123,100,40.972353274632724,-74.08380712367628,40.73806346111835,-74.08870564130838,DeviceA,DeviceB,192.168.0.62,192.168.0.97,1741969459,0,1,1
user123,200,40.95403488463711,-74.05018350728797,40.773874928613694,-74.02493509703373,DeviceA,DeviceA,192.168.0.248,192.168.0.183,1741969459,3,1,0
user123,300,40.731906035513724,-74.09171670506666,40.78289223969617,-74.17414678711063,DeviceA,DeviceB,192.168.0.143,192.168.0.23,1741969459,2,1,0
user123,1000,40.90417605016832,-74.03972166500644,40.770082030163465,-74.10463536661749,DeviceB,DeviceB,192.168.0.50,192.168.0.92,1741969459,2,0,0
user123,1000,40.971515972027326,-74.18519315062036,40.716184023259025,-74.14720133515843,DeviceB,DeviceA,192.168.0.17,192.168.0.113,1741969459,0,1,0
user123,200,40.818972740046256,-74.09394905128829,40.88404311893906,-74.01520518379333,DeviceB,DeviceA,192.168.0.10,192.168.0.224,1741969459,3,0,1
user123,100,40.80312801045046,-73.92168903098964,40.973710315140494,-73.94240272657261,DeviceA,DeviceB,192.168.0.227,192.168.0.93,1741969459,1,0,0
user123,600,40.863639415464576,-74.04131570009514,40.859637583375026,-74.02320016537305,DeviceA,DeviceB,192.168.0.70,192.168.0.129,1741969459,1,0,1
user123,1000,40.712872866479316,-73.91965260016607,40.80049716559605,-74.11804494061286,DeviceA,DeviceA,192.168.0.237,192.168.0.193,1741969459,1,0,1
user123,300,40.99490696134002,-74.08966177543147,40.74518415727351,-74.0306403366314,DeviceA,DeviceA,192.168.0.223,192.168.0.7,1741969459,3,0,0
user123,100,40.91644470752613,-73.98986181201408,40.81283669996121,-74.14493067854897,DeviceA,DeviceA,192.168.0.163,192.168.0.88,1741969459,2,0,1
user123,200,40.799679866997636,-74.18432039198895,40.84975679235238,-73.95784838777703,DeviceB,DeviceB,192.168.0.93,192.168.0.87,1741969459,0,1,0
user123,600,40.901943508370955,-74.09761388298543,40.714715891054425,-74.09154428499478,DeviceA,DeviceB,192.168.0.13,192.168.0.205,1741969459,3,0,0
user123,200,40.77859071741154,-73.94437736450905,40.86790056558797,-73.97504725874741,DeviceA,DeviceA,192.168.0.161,192.168.0.185,1741969459,3,0,1
user123,200,40.97993718744247,-74.01910249191877,40.70425424398838,-73.95439731169441,DeviceA,DeviceA,192.168.0.47,192.168.0.232,1741969459,1,1,0
user123,300,40.78922018476663,-73.91571020027162,40.99715387665481,-74.1558282475895,DeviceB,DeviceB,192.168.0.15,192.168.0.144,1741969459,2,1,1
user123,200,40.85459164305295,-73.97189603570206,40.70804366599298,-74.19649239303071,DeviceA,DeviceB,192.168.0.15,192.168.0.143,1741969459,2,0,0
user123,1000,40.733617904579724,-74.18871796406377,40.83680641613073,-73.95520705374668,DeviceA,DeviceB,192.168.0.34,192.168.0.188,1741969459,0,0,1
user123,100,40.973706429030024,-73.94472923228017,40.88536290584931,-74.13968264968486,DeviceB,DeviceB,192.168.0.200,192.168.0.251,1741969459,2,0,0
